# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1
3.3421198442e-01	1.0638297872e-01	3.702215569713e-05	2.239575151851e-04	5.596330956551e-04	4.728250493967e-03	4.902339482627e-03	5.114396026934e-03	4.06271199	24.57649654	61.41263368	518.86551708	537.96957538	561.24009133
3.3814389012e-01	1.0763454318e-01	5.373998264238e-05	2.275667201233e-04	5.629456114602e-04	4.728278380591e-03	4.902850660931e-03	5.114377637406e-03	5.89728144	24.97256100	61.77614028	518.86857728	538.02567072	561.23807331
3.4207579582e-01	1.0888610763e-01	6.650283667560e-05	2.311594462048e-04	5.662756672479e-04	4.728306554125e-03	4.903367533123e-03	5.114359031759e-03	7.29784278	25.36681712	62.14157166	518.87166897	538.08239089	561.23603158
3.4600770152e-01	1.1013767209e-01	7.729520690959e-05	2.347364032056e-04	5.696229043640e-04	4.728335013244e-03	4.903890089414e-03	5.114340209967e-03	8.48216852	25.75934278	62.50888848	518.87479200	538.13973481	561.23396613
3.4993960722e-01	1.1138923655e-01	8.685467790168e-05	2.382982545205e-04	5.729869704052e-04	4.728363756612e-03	4.904418319909e-03	5.114321172002e-03	9.53119921	26.15021078	62.87805205	518.87794622	538.19770141	561.23187695
3.5387151292e-01	1.1264080100e-01	9.555192020208e-05	2.418456210176e-04	5.763675191426e-04	4.728392782880e-03	4.904952214609e-03	5.114301917839e-03	10.48561123	26.53948926	63.24902440	518.88113148	538.25628958	561.22976405
3.5780341862e-01	1.1389236546e-01	1.036042274918e-04	2.453790845003e-04	5.797642104426e-04	4.728422090687e-03	4.905491763411e-03	5.114282447452e-03	11.36924982	26.92724206	63.62176818	518.88434764	538.31549822	561.22762742
3.6173532432e-01	1.1514392991e-01	1.111517799747e-04	2.488991908238e-04	5.831767101866e-04	4.728451678659e-03	4.906036956107e-03	5.114262760815e-03	12.19749797	27.31352908	63.99624674	518.88759455	538.37532620	561.22546706
3.6566723002e-01	1.1639549437e-01	1.182911645179e-04	2.524064527069e-04	5.866046901881e-04	4.728481545408e-03	4.906587782386e-03	5.114242857904e-03	12.98095486	27.69840658	64.37242407	518.89087204	538.43577240	561.22328297
3.6959913572e-01	1.1764705882e-01	1.250922197540e-04	2.559013522742e-04	5.900478281092e-04	4.728511689535e-03	4.907144231834e-03	5.114222738692e-03	13.72728441	28.08192748	64.75026478	518.89417998	538.49683566	561.22107514
3.7353104142e-01	1.1889862328e-01	1.316073431975e-04	2.593843433596e-04	5.935058073758e-04	4.728542109629e-03	4.907706293934e-03	5.114202403155e-03	14.44223657	28.46414157	65.12973414	518.89751820	538.55851485	561.21884358
3.7746294711e-01	1.2015018773e-01	1.378770122755e-04	2.628558535973e-04	5.969783170918e-04	4.728572804267e-03	4.908273958065e-03	5.114181851270e-03	15.13025322	28.84509579	65.51079804	518.90088655	538.62080879	561.21658827
3.8139485281e-01	1.2140175219e-01	1.439332461283e-04	2.663162863235e-04	6.004650519519e-04	4.728603772011e-03	4.908847213506e-03	5.114161083013e-03	15.79484807	29.22483438	65.89342296	518.90428486	538.68371630	561.21430921
3.8532675851e-01	1.2265331665e-01	1.498018751153e-04	2.697660223092e-04	6.039657121550e-04	4.728635011414e-03	4.909426049432e-03	5.114140098359e-03	16.43885566	29.60339915	66.27757602	518.90771299	538.74723620	561.21200641
3.8925866421e-01	1.2390488110e-01	1.555040841756e-04	2.732054213412e-04	6.074800033163e-04	4.728666521015e-03	4.910010454916e-03	5.114118897287e-03	17.06460077	29.98082957	66.66322489	518.91117077	538.81136729	561.20967987
3.9319056991e-01	1.2515644556e-01	1.610574950734e-04	2.766348236683e-04	6.110076363790e-04	4.728698299343e-03	4.910600418931e-03	5.114097479773e-03	17.67401718	30.35716297	67.05033788	518.91465804	538.87610836	561.20732957
3.9712247561e-01	1.2640801001e-01	1.664769453498e-04	2.800545513250e-04	6.145483275267e-04	4.728730344913e-03	4.911195930348e-03	5.114075845797e-03	18.26873311	30.73243471	67.43888382	518.91817463	538.94145818	561.20495551
4.0105438131e-01	1.2765957447e-01	1.717750617088e-04	2.834649093456e-04	6.181017980953e-04	4.728762656229e-03	4.911796977937e-03	5.114053995335e-03	18.85013417	31.10667824	67.82883214	518.92172039	539.00741553	561.20255770
4.0498628701e-01	1.2891113892e-01	1.769626904181e-04	2.868661868793e-04	6.216677744844e-04	4.728795231784e-03	4.912403550367e-03	5.114031928368e-03	19.41941062	31.47992531	68.22015282	518.92529514	539.07397916	561.20013613
4.0891819271e-01	1.3016270338e-01	1.820492259741e-04	2.902586582158e-04	6.252459880702e-04	4.728828070059e-03	4.913015636209e-03	5.114009644876e-03	19.97759338	31.85220601	68.61281637	518.92889873	539.14114782	561.19769080
4.1285009841e-01	1.3141426783e-01	1.870428659252e-04	2.936425837300e-04	6.288361751179e-04	4.728861169521e-03	4.913633223932e-03	5.113987144837e-03	20.52558202	32.22354891	69.00679386	518.93253098	539.20892024	561.19522171
4.1678200411e-01	1.3266583229e-01	1.919508111399e-04	2.970182107531e-04	6.324380766945e-04	4.728894528630e-03	4.914256301905e-03	5.113964428234e-03	21.06416676	32.59398116	69.40205687	518.93619171	539.27729514	561.19272885
4.2071390980e-01	1.3391739675e-01	1.967794251284e-04	3.003857743774e-04	6.360514385826e-04	4.728928145831e-03	4.914884858401e-03	5.113941495048e-03	21.59404589	32.96352855	69.79857751	518.93988078	539.34627125	561.19021222
4.2464581550e-01	1.3516896120e-01	2.015343621879e-04	3.037454981999e-04	6.396760111943e-04	4.728962019560e-03	4.915518881590e-03	5.113918345260e-03	22.11583992	33.33221562	70.19632837	518.94359799	539.41584725	561.18767182
4.2857772120e-01	1.3642052566e-01	2.062206715063e-04	3.070975950114e-04	6.433115494862e-04	4.728996148239e-03	4.916158359547e-03	5.113894978854e-03	22.63010293	33.70006573	70.59528259	518.94734318	539.48602184	561.18510766
4.3250962690e-01	1.3767209011e-01	2.108428825055e-04	3.104422674341e-04	6.469578128750e-04	4.729030530281e-03	4.916803280247e-03	5.113871395813e-03	23.13733196	34.06710110	70.99541374	518.95111617	539.55679371	561.18251972
4.3644153260e-01	1.3892365457e-01	2.154050753894e-04	3.137797085145e-04	6.506145651535e-04	4.729065164088e-03	4.917453631567e-03	5.113847596122e-03	23.63797476	34.43334293	71.39669592	518.95491679	539.62816152	561.17990800
4.4037343830e-01	1.4017521902e-01	2.199109399090e-04	3.171101022728e-04	6.542815744081e-04	4.729100048050e-03	4.918109401288e-03	5.113823579765e-03	24.13243623	34.79881140	71.79910368	518.95874486	539.70012393	561.17727251
4.4430534400e-01	1.4142678348e-01	2.243638246578e-04	3.204336242152e-04	6.579586129368e-04	4.729135180547e-03	4.918770577092e-03	5.113799346728e-03	24.62108385	35.16352578	72.20261201	518.96260021	539.77267958	561.17461325
4.4823724970e-01	1.4267834793e-01	2.287667786939e-04	3.237504418093e-04	6.616454571685e-04	4.729170559947e-03	4.919437146565e-03	5.113774896998e-03	25.10425221	35.52750443	72.60719640	518.96648265	539.84582713	561.17193020
4.5216915540e-01	1.4392991239e-01	2.331225868960e-04	3.270607149282e-04	6.653418875825e-04	4.729206184608e-03	4.920109097198e-03	5.113750230563e-03	25.58224691	35.89076492	73.01283275	518.97039200	539.91956519	561.16922337
4.5610106110e-01	1.4518147685e-01	2.374338001663e-04	3.303645962641e-04	6.690476886302e-04	4.729242052877e-03	4.920786416384e-03	5.113725347409e-03	26.05534788	36.25332399	73.41949741	518.97432809	539.99389238	561.16649276
